F_One_Name	Parent_A	Parent_A_Score	Parent_B	Parent_B_Score	TotalMarkers	Polymorphic	Call_Hetero	Call_ParentA	Call_ParentB	Call_Missing	Percentage_Het	Comment
ICMX 2010781:15	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:4	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:5	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:6	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:7	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:8	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:9	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	1	0	9	33.33	failedF1
ICMX 2010781:10	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:11	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:12	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:13	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	5	2	0	8	33.33	failedF1
ICMX 2010781:14	ICMR 102387	100.0	ICMX 1410895-B-8-1-2	99.58	30	15	0	7	0	8	0.0	failedF1
ICMX 2010783:12	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:13	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	4	na	na	20	40.0	failedF1
ICMX 2010783:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	0	na	na	20	0.0	failedF1
ICMX 2010783:4	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:5	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:6	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
ICMX 2010783:7	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	na	ICMR 102542	na	30	na	3	na	na	20	30.0	failedF1
