SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B	
ICMX 2010796:6	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010796:7	ICMX 2010796	ICMR 17222	ICMR 102624	
ICMX 2010797:1	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:2	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:3	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:4	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:5	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:6	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:7	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:8	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:9	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:10	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010797:11	ICMX 2010797	ICMR 13999	AIMP 92901	
ICMX 2010798:5	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:6	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:7	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:8	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:9	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:10	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:11	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:12	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:1	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:2	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:3	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010798:4	ICMX 2010798	ICMR 19777	AIMP 92901	
ICMX 2010799:1	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:2	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:3	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:4	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:5	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:6	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:7	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:8	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:9	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:10	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010799:11	ICMX 2010799	ICMB 101637	ICMB 101771	
ICMX 2010800:12	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:1	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:13	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:2	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:3	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:4	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:6	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:7	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:8	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:9	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:10	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010800:11	ICMX 2010800	ICMB 101958	ICMB 101771	
ICMX 2010801:11	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010801:12	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010801:1	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010801:13	ICMX 2010801	ICMB 101665	ICMB 101771	
ICMX 2010801:14	ICMX 2010801	ICMB 101665	ICMB 101771	
