SAMPLE_UID	SAMPLE_NAME
ASI8FCnUJX00Z	ICSX 2010016:9
ASI8F5ZruWhkd	ICSX 2010004:4
ASI8F8uhuNIHD	ICSX 2010006:2
ASI8FqIRxkUhS	ICSX 2010008:2
ASI8FO6013fQT	ICSB 101:12
ASI8FSMD6VI1c	ICSX 2010010:12
ASI8FBl0lx6Zm	ICSX 2010012:12
ASI8FJPXi2rul	ICSX 2010014:10
ASI8F1jVaI2g6	ICSX 2010016:10
ASI8FVGJ9xA4d	ICSX 2010014:13
ASI8F1Egj2Hmw	ICSX 2010006:3
ASI8Ftk6macuN	ICSX 2010008:3
ASI8F2vIyxrte	ICSX 2010010:1
ASI8FY8C72p8N	ICSX 2010012:1
ASI8FLgWJgYsI	ICSB 38:10
ASI8F94dCcvTg	ICSX 2010014:11
ASI8FqqTnpNOL	ICSX 2010014:14
ASI8FAQxznSYZ	ICSX 2010006:4
ASI8Fpqs7nC1T	ICSX 2010008:4
ASI8FBrk0dye2	ICSX 2010010:2
ASI8Fp1YXf94p	ICSX 2010012:2
ASI8FUes66Lpd	ICSB 38:11
ASI8Fb0TcP4uY	ICSX 2010014:12
ASI8FWQBgz0fD	ICSX 2010016:11
ASI8FgThApB9f	ICSX 2010017:9
ASI8FkxlDCT58	ICSX 2010018:9
ASI8FKma6CGhY	ICSX 2010020:2
ASI8Fa0nlV6ka	ICSX 2010022:1
ASI8FithetbEB	ICSX 2010024:2
