SAMPLE_NAME	DESIGNATION	PARENT_A	PARENT_B
ICMX 2010809:7	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:8	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:9	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:10	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:11	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:12	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:1	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010809:2	ICMX 2010809	ICMB 101665	ICMB 101797
ICMX 2010810:2	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:3	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:4	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:5	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:6	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:7	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:8	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:9	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:10	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:11	ICMX 2010810	ICMB 101832	ICMB 101797
ICMX 2010810:12	ICMX 2010810	ICMB 101832	ICMB 101797
