SAMPLE_UID	DESIGNATION	SAMPLE_NAME	PARENT_A	PARENT_B
8TNISq0ZR6Af0	ICMX 2010789	ICMX 2010789:9	ICMR 15666	ICMR 102623
8TNISOSwYVeji	ICMX 2010789	ICMX 2010789:10	ICMR 15666	ICMR 102623
8TNISYsbwGHDm	ICMX 2010789	ICMX 2010789:11	ICMR 15666	ICMR 102623
8TNIS666Ouytx	ICMX 2010789	ICMX 2010789:12	ICMR 15666	ICMR 102623
8TNIShRh4SFzT	ICMX 2010790	ICMX 2010790:7	ICMR 102387	ICMR 102622
8TNISsNEnUfoV	ICMX 2010790	ICMX 2010790:1	ICMR 102387	ICMR 102622
8TNISb4mpal5X	ICMX 2010790	ICMX 2010790:2	ICMR 102387	ICMR 102622
8TNISgvIDpyxS	ICMX 2010790	ICMX 2010790:3	ICMR 102387	ICMR 102622
8TNISxWauMkh4	ICMX 2010790	ICMX 2010790:4	ICMR 102387	ICMR 102622
8TNISjZW4nYQd	ICMX 2010790	ICMX 2010790:5	ICMR 102387	ICMR 102622
8TNISVT26oB5y	ICMX 2010790	ICMX 2010790:6	ICMR 102387	ICMR 102622
8TNIS2Xg5J82M	ICMX 2010791	ICMX 2010791:9	ICMR 100437	ICMR 102622
8TNISgvSiLJ8u	ICMX 2010791	ICMX 2010791:10	ICMR 100437	ICMR 102622
8TNISbvubnkXz	ICMX 2010791	ICMX 2010791:1	ICMR 100437	ICMR 102622
8TNISfo7didmz	ICMX 2010791	ICMX 2010791:2	ICMR 100437	ICMR 102622
8TNISQep9W0d9	ICMX 2010791	ICMX 2010791:3	ICMR 100437	ICMR 102622
8TNISsw7VMCF7	ICMX 2010791	ICMX 2010791:4	ICMR 100437	ICMR 102622
8TNISlPxJSpas	ICMX 2010791	ICMX 2010791:5	ICMR 100437	ICMR 102622
8TNISqTtjSsh5	ICMX 2010791	ICMX 2010791:6	ICMR 100437	ICMR 102622
8TNISOAjZRLW3	ICMX 2010791	ICMX 2010791:7	ICMR 100437	ICMR 102622
8TNISlhaM7gGo	ICMX 2010791	ICMX 2010791:8	ICMR 100437	ICMR 102622
8TNISr8lJMZ2I	ICMX 2010792	ICMX 2010792:9	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISbYYX1W8S	ICMX 2010792	ICMX 2010792:1	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISKlbMP7Ps	ICMX 2010792	ICMX 2010792:2	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISyQUEWGBq	ICMX 2010792	ICMX 2010792:3	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISb8EdHcoO	ICMX 2010792	ICMX 2010792:4	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISorX8bqJm	ICMX 2010792	ICMX 2010792:5	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISHat36Fs0	ICMX 2010792	ICMX 2010792:6	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISQLlVCXLm	ICMX 2010792	ICMX 2010792:7	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISa6gWAQza	ICMX 2010792	ICMX 2010792:8	ICMS 8511 S1-17-2-1-1-4-1-B-3-2-3-2-B-1-1-B	ICMR 102622
8TNISCFADS9TW	ICMX 2010793	ICMX 2010793:10	ICMR 19777	ICMR 102622
8TNIS85LGzwSd	ICMX 2010793	ICMX 2010793:11	ICMR 19777	ICMR 102622
8TNISykhiP8xj	ICMX 2010793	ICMX 2010793:1	ICMR 19777	ICMR 102622
8TNISPk0tz1Kx	ICMX 2010793	ICMX 2010793:2	ICMR 19777	ICMR 102622
8TNISRVhmICey	ICMX 2010793	ICMX 2010793:3	ICMR 19777	ICMR 102622
8TNISiXotd06u	ICMX 2010793	ICMX 2010793:4	ICMR 19777	ICMR 102622
8TNISxxYN8kfz	ICMX 2010793	ICMX 2010793:5	ICMR 19777	ICMR 102622
8TNISWdVcffRh	ICMX 2010793	ICMX 2010793:6	ICMR 19777	ICMR 102622
8TNISE5O7fLLo	ICMX 2010793	ICMX 2010793:7	ICMR 19777	ICMR 102622
