DESIGNATION	SAMPLE_UID
ICMB 101853:1	ICMB 101853
ICMB 101853:2	ICMB 101853
ICMB 101853:3	ICMB 101853
ICMB 101853:4	ICMB 101853
ICMB 101853:5	ICMB 101853
ICMB 101967:1	ICMB 101967
ICMB 101967:2	ICMB 101967
ICMB 101967:3	ICMB 101967
ICMB 101967:4	ICMB 101967
ICMB 101967:5	ICMB 101967
ICMB 10777:1	ICMB 10777
ICMB 10777:2	ICMB 10777
ICMB 10777:3	ICMB 10777
ICMB 10777:4	ICMB 10777
ICMB 10777:5	ICMB 10777
ICMB 14222:17	ICMB 14222
ICMB 14222:18	ICMB 14222
ICMB 14222:19	ICMB 14222
ICMB 14222:20	ICMB 14222
ICMB 14222:21	ICMB 14222
ICMB 101968:1	ICMB 101968
ICMB 101968:2	ICMB 101968
ICMB 101968:3	ICMB 101968
ICMB 101968:4	ICMB 101968
ICMB 101968:5	ICMB 101968
ICMB 16444:1	ICMB 16444
ICMB 16444:2	ICMB 16444
ICMB 16444:3	ICMB 16444
ICMB 16444:4	ICMB 16444
ICMB 16444:5	ICMB 16444
ICMB 18111:1	ICMB 18111
ICMB 18111:2	ICMB 18111
ICMB 18111:3	ICMB 18111
ICMB 18111:4	ICMB 18111
ICMB 18111:5	ICMB 18111
ICMB 16222:1	ICMB 16222
ICMB 16222:2	ICMB 16222
ICMB 16222:3	ICMB 16222
ICMB 16222:4	ICMB 16222
ICMB 16222:5	ICMB 16222
ICMB 101969:1	ICMB 101969
ICMB 101969:2	ICMB 101969
ICMB 101969:3	ICMB 101969
ICMB 101969:4	ICMB 101969
ICMB 101969:5	ICMB 101969
ICMB 101970:1	ICMB 101970
ICMB 101970:2	ICMB 101970
ICMB 101970:3	ICMB 101970
ICMB 101970:4	ICMB 101970
ICMB 101970:5	ICMB 101970
ICMB 101971:1	ICMB 101971
ICMB 101971:2	ICMB 101971
ICMB 101971:3	ICMB 101971
ICMB 101971:4	ICMB 101971
ICMB 101971:5	ICMB 101971
ICMB 101972:1	ICMB 101972
ICMB 101972:2	ICMB 101972
ICMB 101972:3	ICMB 101972
ICMB 101972:4	ICMB 101972
ICMB 101972:5	ICMB 101972
ICMB 101973:1	ICMB 101973
ICMB 101973:2	ICMB 101973
ICMB 101973:3	ICMB 101973
ICMB 101973:4	ICMB 101973
ICMB 101973:5	ICMB 101973
ICMB 101815:1	ICMB 101815
ICMB 101815:2	ICMB 101815
ICMB 101815:3	ICMB 101815
ICMB 101815:4	ICMB 101815
ICMB 101815:5	ICMB 101815
ICMB 100157:1	ICMB 100157
ICMB 100157:2	ICMB 100157
ICMB 100157:3	ICMB 100157
ICMB 100157:4	ICMB 100157
ICMB 100157:5	ICMB 100157
ICMB 101994:1	ICMB 101994
ICMB 101994:2	ICMB 101994
